PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
01604395,BISHOP MCNAMARA HIGH SCHOOL,14,17,6800 MARLBORO PIKE,FORESTVILLE,24033,033,MD,24,20747,3017358401,175,7,Yes,,,,,,,,,,,,194,237,218,206,855,855,2,6,14,642,62,19,110,74,21,1,1,2,1,2,0.23,0.7,1.63,75.08,7.25,2.22,12.86,11.55,1,PRINCE GEORGE'S,National Catholic Educational Association (NCEA),,,,,,,
00578513,BISHOP WALSH SCHOOL,2,17,700 BISHOP WALSH RD,CUMBERLAND,24001,001,MD,24,21502,3017245360,179,6.5,Yes,,67,22,15,18,19,15,20,22,27,23,31,28,27,20,354,287,0,11,11,4,261,0,0,35.6,13,1,1,3,1,1,0,3.83,3.83,1.39,90.94,0,0,8.06,1,ALLEGANY,National Catholic Educational Association (NCEA),Other school association(s),,,,,,
A9103186,BITTINGER MENNONITE SCHOOL,3,16,10707 BITTINGER RD,BITTINGER,24023,023,MD,24,21522,3012454419,180,6,No,,,2,2,3,4,4,5,2,4,8,6,3,3,,46,46,0,1,0,0,45,0,0,4.5,42,1,1,3,2,4,0,2.17,0,0,97.82,0,0,10.22,24,GARRETT,School does not belong to ANY associations or organizations,,,,,,,
A0301713,BNOS YISROEL,2,17,6300 PARK HEIGHTS AVE,BALTIMORE,24510,510,MD,24,21215,4435243200,170,7,Yes,,57,39,26,42,39,36,37,40,37,29,38,34,39,25,518,461,0,3,0,0,458,0,0,39.3,11,2,1,3,2,1,0,0.65,0,0,99.34,0,0,11.73,18,BALTIMORE,School does not belong to ANY associations or organizations,,,,,,,
01933921,BOOK OF LIFE ACADEMY,2,10,913 CEDAR PARK RD,ANNAPOLIS,24003,003,MD,24,21401,4102632600,180,6.75,No,,46,13,11,6,5,4,1,,,,,,,,86,40,0,0,31,6,3,0,0,4.3,21,1,1,1,2,2,0,0,77.5,15,7.5,0,0,9.3,8,ANNE ARUNDEL,Association of Christian Teachers and Schools (ACTS),,,,,,,
A1501797,BRIDGES MNONTESSORI,2,10,2529 CONOWINGO RD,BEL AIR,24025,025,MD,24,21015,4108360833,174,6,Yes,,41,11,6,7,8,9,2,,,,,,,,84,43,0,2,0,3,38,0,0,5.3,41,1,2,1,3,4,0,4.65,0,6.97,88.37,0,0,8.11,30,HARFORD,American Montessori Society (AMS),Other Montessori association(s),,,,,,
A0301710,BRIDGES MONTESSORI,2,3,2529 CONOWINGO RD,BEL AIR,24005,005,MD,24,21015,4108360833,174,6,Yes,,36,12,,,,,,,,,,,,,48,12,0,1,0,1,10,0,0,3,21,1,2,1,3,2,0,8.33,0,8.33,83.33,0,0,4,30,BALTIMORE,American Montessori Society (AMS),Other Montessori association(s),,,,,,
00580883,BROADFORDING CHRISTIAN ACADEMY,2,17,13535 BROADFORDING CHURCH RD,HAGERSTOWN,24043,043,MD,24,21740,3017978886,180,7,Yes,,35,14,14,11,17,17,13,15,10,15,20,22,28,54,285,250,,,,,,,,27.3,41,1,1,3,2,4,,,,,,,,9.15,8,WASHINGTON,Association of Christian Schools International (ACSI),Other school association(s),,,,,,
A0103934,BROOKFIELD CHRISTIAN SCHOOL,2,3,6347 TEN OAKS RD,CLARKSVILLE,24027,027,MD,24,21029,4105319443,203,6,Yes,,95,6,,,,,,,,,,,,,101,6,0,4,0,2,0,0,0,1,21,1,7,1,2,2,0,66.66,0,33.33,0,0,0,6,8,HOWARD,School does not belong to ANY associations or organizations,,,,,,,
K9302964,BROWN MEMORIAL WEEKDAY SCHOOL,2,3,6200 N CHARLES ST 1,BALTIMORE,24005,005,MD,24,21212,4103772989,173,5.5,Yes,,80,16,,,,,,,,,,,,,96,16,0,0,0,0,16,0,0,2,13,1,7,1,2,1,0,0,0,0,100,0,0,8,27,BALTIMORE,School does not belong to ANY associations or organizations,,,,,,,
K9302836,BRYANT WOODS MONTESSORI CHILDRENS HOUSE,2,3,10449 GREEN MOUNTAIN CIR,COLUMBIA,24027,027,MD,24,21044,4107307525,176,6.75,Yes,,18,10,,,,,,,,,,,,,28,10,0,3,1,1,4,0,1,2,13,1,2,1,3,1,0,30,10,10,40,0,10,5,30,HOWARD,American Montessori Society (AMS),Other school association(s),,,,,,
A1101175,BUDDS CREEK AMISH PAROCHIAL SCHOOL,6,13,28379 THOMPSON CORNER RD,MECHANICSVILLE,24037,037,MD,24,20659,,180,6.5,Yes,,,,4,3,3,4,4,3,2,4,,,,,27,27,0,0,0,0,27,0,0,1,41,1,1,1,2,4,0,0,0,0,100,0,0,27,3,ST. MARY'S,Association Montessori International (AMI),,,,,,,
00579379,BULLIS SCHOOL,3,17,10601 FALLS RD,POTOMAC,24031,031,MD,24,20854,3019835711,173,6.91,Yes,,,6,4,5,18,24,26,51,63,75,115,152,147,145,831,831,3,99,24,19,598,1,87,117.1,21,1,1,3,3,2,0.36,11.91,2.88,2.28,71.96,0.12,10.46,7.09,30,MONTGOMERY,National Association of Independent Schools (NAIS),,,,,,,
K9302752,BUTLER MONTESSORI,2,13,15951 GERMANTOWN RD,DARNESTOWN,24031,031,MD,24,20874,3019776600,174,6.5,Yes,,52,14,17,15,7,9,10,4,8,10,,,,,146,94,0,25,1,4,50,0,14,14,41,1,2,1,3,4,0,26.59,1.06,4.25,53.19,0,14.89,6.71,30,MONTGOMERY,Association Montessori International (AMI),Other school association(s),,,,,,
BB181325,BUTLER SCHOOL,2,13,15951 GERMANTOWN RD,GERMANTOWN,24031,031,MD,24,20874,3019776600,173,7,Yes,,56,14,18,14,6,10,9,4,8,10,,,,,149,93,,36,,,,,12,11.6,41,1,2,1,3,4,,38.7,,,,,12.9,8.01,30,MONTGOMERY,Association Montessori International (AMI),Other school association(s),,,,,,
01933943,CALVARY BAPTIST CHURCH ACADEMY,2,17,407 MARLEY STATION RD,GLEN BURNIE,24003,003,MD,24,21060,4107685324,178,7,No,,90,36,30,18,19,17,10,12,14,14,13,9,12,2,296,206,0,9,13,59,104,0,21,14.6,21,1,1,3,2,2,0,4.36,6.31,28.64,50.48,0,10.19,14.1,5,ANNE ARUNDEL,American Association of Christian Schools (AACS),,,,,,,
A0701172,CALVARY BAPTIST SCHOOL,2,17,7321 MANCHESTER RD,BALTIMORE,24005,005,MD,24,21222,4102852193,170,7,No,,20,17,10,12,11,8,9,9,5,8,12,7,7,7,142,122,0,2,9,6,105,0,0,13.4,21,1,1,3,2,2,0,1.63,7.37,4.91,86.06,0,0,9.1,5,BALTIMORE,Accelerated Christian Education (ACE),American Association of Christian Schools (AACS),,,,,,
K9303060,CALVARY WEEKDAY SCHOOL,2,3,131 W 2ND ST,FREDERICK,24021,021,MD,24,21701,3016626783,179,3.5,Yes,,90,18,,,,,,,,,,,,,108,18,0,0,0,2,16,0,0,1,13,1,6,1,3,1,0,0,0,11.11,88.88,0,0,18,30,FREDERICK,Other school association(s),,,,,,,
00577713,CALVERT HALL COLLEGE HIGH SCHOOL,14,17,8102 LASALLE RD,BALTIMORE,24005,005,MD,24,21286,4108254266,174,6.33,Yes,,,,,,,,,,,,298,317,265,290,1170,1170,3,43,34,204,855,0,31,99.6,13,3,1,2,1,1,0.25,3.67,2.9,17.43,73.07,0,2.64,11.74,1,BALTIMORE,National Catholic Educational Association (NCEA),State or regional independent school association,,,,,,
A0740061,CALVERT SCHOOL,2,13,105 TUSCANY RD,BALTIMORE,24510,510,MD,24,21210,4102436054,175,7.83,Yes,,63,122,64,63,57,57,57,54,57,62,,,,,656,593,0,23,11,53,455,0,51,73.8,11,1,1,1,3,1,0,3.87,1.85,8.93,76.72,0,8.6,8.03,30,BALTIMORE,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,
A0103935,CAMBRIDGE SCHOOL,3,13,6200 N CHARLES STREET,BALTIMORE,24005,005,MD,24,21212,4104863686,174,6.75,Yes,,,16,12,9,16,10,9,12,13,13,,,,,110,110,0,3,3,15,83,0,6,15.6,21,1,1,1,2,2,0,2.72,2.72,13.63,75.45,0,5.45,7.05,8,BALTIMORE,Other school association(s),,,,,,,
A9701745,CAMP OLYMPIA COUNTRY DAY SCHOOL,2,4,5511 MUNCASTER MILL RD,ROCKVILLE,24031,031,MD,24,20855,3019269281,192,4,Yes,3,21,3,,,,,,,,,,,,,27,6,0,0,1,0,4,0,1,1,41,1,6,1,3,4,0,0,16.66,0,66.66,0,16.66,6,30,MONTGOMERY,School does not belong to ANY associations or organizations,,,,,,,
A1592089,CAPITOL CHRISTIAN ACADEMY,12,17,610 LARGO RD,UPPER MARLBORO,24033,033,MD,24,20774,2402232467,180,7,Yes,,,,,,,,,,2,6,15,16,11,16,66,66,0,0,0,64,2,0,0,10.5,21,1,1,2,2,2,0,0,0,96.96,3.03,0,0,6.28,8,PRINCE GEORGE'S,Association of Christian Schools International (ACSI),,,,,,,
K9302653,CARDINAL HICKEY ACADEMY,2,13,1601 W MOUNT HARMONY RD,OWINGS,24009,009,MD,24,20736,4102860404,180,6.75,Yes,,23,20,17,15,16,25,17,20,21,23,,,,,197,174,0,4,4,2,163,1,0,14.9,31,1,1,1,1,3,0,2.29,2.29,1.14,93.67,0.57,0,11.67,1,CALVERT,National Catholic Educational Association (NCEA),American Montessori Society (AMS),,,,,,
00578932,CARDINAL SHEHAN SCHOOL,2,13,5407 LOCH RAVEN BLVD,BALTIMORE,24510,510,MD,24,21239,4104332775,181,6,Yes,,47,38,40,30,30,4,44,40,46,48,,,,,367,320,0,0,0,320,0,0,0,24.8,11,1,1,1,1,1,0,0,0,100,0,0,0,12.9,1,BALTIMORE,National Catholic Educational Association (NCEA),,,,,,,
00580828,CARROLL CHRISTIAN SCHOOLS,2,17,550 BALTIMORE BLVD,WESTMINSTER,24013,013,MD,24,21157,4108763838,180,7,Yes,,39,17,24,17,14,10,14,20,20,34,21,32,19,26,307,268,0,14,14,19,212,0,9,30,23,1,1,3,2,2,0,5.22,5.22,7.08,79.1,0,3.35,8.93,5,CARROLL,Other religious school associations,State or regional independent school association,,,,,,
A0301716,CARROLL LUTHERAN SCHOOL,3,13,1738 OLD TANEYTOWN RD,WESTMINSTER,24013,013,MD,24,21158,4108481050,175,6.58,Yes,,,7,6,10,8,8,5,10,6,8,,,,,68,68,0,1,2,1,64,0,0,10.6,23,1,1,1,2,2,0,1.47,2.94,1.47,94.11,0,0,6.41,21,CARROLL,Evangelical Lutheran Education Association (ELEA),,,,,,,
A9103155,CASA DE MONTESSORI,2,3,709 HOBBS DR,SILVER SPRING,24031,031,MD,24,20904,3013848404,173,6.25,No,,36,5,,,,,,,,,,,,,41,5,0,1,0,1,2,0,1,2,21,1,2,1,3,2,0,20,0,20,40,0,20,2.5,30,MONTGOMERY,Association Montessori International (AMI),,,,,,,
A1101176,CASSELMAN VALLEY SCHOOL,6,13,1317 RIVER RD,GRANTSVILLE,24023,023,MD,24,21536,3018955069,180,6,No,,,,1,1,1,4,1,3,1,3,,,,,15,15,0,0,0,0,15,0,0,1,42,1,1,1,2,4,0,0,0,0,100,0,0,15,3,GARRETT,School does not belong to ANY associations or organizations,,,,,,,
A1301535,CEDAR GROVE AMISH PAROCHIAL SCHOOL,6,13,28379 THOMPSON CORNER RD,MECHANICSVILLE,24037,037,MD,24,20659,,180,6.5,Yes,,,,6,2,4,1,6,5,3,1,,,,,28,28,0,0,0,0,28,0,0,1,41,1,1,1,2,4,0,0,0,0,100,0,0,28,3,ST. MARY'S,Association Montessori International (AMI),,,,,,,
00580817,CEDAR RIDGE SCHOOL,7,17,12146 CEDAR RIDGE RD,WILLIAMSPORT,24043,043,MD,24,21795,3015820282,180,6.5,Yes,,,,,1,2,3,,1,2,6,6,4,3,3,31,31,0,0,1,15,12,0,3,6,41,3,4,3,2,4,0,0,3.22,48.38,38.7,0,9.67,5.16,8,WASHINGTON,Other school association(s),,,,,,,
A1390199,CENTER FOR YOUNG CHILDREN,2,3,4028 VALLEY DR,COLLEGE PARK,24033,033,MD,24,20740,3014053168,175,6.5,Yes,,89,17,,,,,,,,,,,,,106,17,0,2,1,2,9,0,3,2.1,21,1,6,1,3,2,0,11.76,5.88,11.76,52.94,0,17.64,8.09,30,PRINCE GEORGE'S,National Association for the Education of Young Children (NAEYC),,,,,,,
A9302909,CHAPELGATE CHRISTIAN ACADEMY,2,17,2600 MARRIOTTSVILLE RD,MARRIOTTSVILLE,24027,027,MD,24,21104,4104425888,178,6,Yes,,32,8,,,,,,17,21,31,49,58,62,48,326,294,0,67,3,81,125,0,18,25.9,21,1,1,3,2,2,0,22.78,1.02,27.55,42.51,0,6.12,11.35,27,HOWARD,Association of Christian Schools International (ACSI),,,,,,,
Y0579426,CHARLES E SMITH JEWISH DAY SCHOOL,2,17,1901 E JEFFERSON ST,ROCKVILLE,24031,031,MD,24,20852,3018811400,174,6,Yes,,12,52,52,49,48,66,72,75,86,90,80,81,98,84,945,933,0,0,0,0,933,0,0,139.4,21,1,1,3,2,2,0,0,0,0,100,0,0,6.69,18,MONTGOMERY,Other religious school associations,National Association of Independent Schools (NAIS),,,,,,
A1101178,CHEDER CHABAD,2,13,5713B PARK HEIGHTS AVE,BALTIMORE,24510,510,MD,24,21215,4105851498,182,8.5,No,,65,24,23,16,21,7,19,6,7,6,,,,,194,129,0,0,0,0,129,0,0,18.3,11,1,1,1,2,1,0,0,0,0,100,0,0,7.04,18,BALTIMORE,Other religious school associations,,,,,,,
02032085,CHELSEA SCHOOL,10,17,2970 BELCREST CENTER DR,HYATTSVILLE,24033,033,MD,24,20782,2404672100,185,7,Yes,,,,,,,,1,6,6,9,8,10,12,11,63,63,2,0,4,45,11,0,1,23.5,21,1,4,3,3,2,3.17,0,6.34,71.42,17.46,0,1.58,2.68,30,PRINCE GEORGE'S,Other special emphasis association(s),National Association of Independent Schools (NAIS),,,,,,
A0103939,CHESAPEAKE CHRISTIAN SCHOOL,2,17,1009 N WASHINGTON ST,EASTON,24041,041,MD,24,21601,4108227600,175,6.5,Yes,,7,11,15,11,15,17,13,9,24,14,5,6,3,6,156,149,0,2,9,15,116,0,7,19.9,32,1,1,3,2,3,0,1.34,6.04,10.06,77.85,0,4.69,7.48,10,TALBOT,School does not belong to ANY associations or organizations,,,,,,,
A1501811,CHESTER RIVER ADVENTIST SCHOOL,7,13,305 N KENT ST,CHESTERTOWN,24029,029,MD,24,21620,4107782193,180,7.25,Yes,,,,,1,,2,2,2,1,1,,,,,9,9,0,0,8,0,1,0,0,1,32,1,1,1,2,3,0,0,88.88,0,11.11,0,0,9,28,KENT,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
01613945,CHESTERTOWN CHRISTIAN ACADEMY,3,17,401 MORGNEC RD,CHESTERTOWN,24029,029,MD,24,21620,4107785855,175,7,Yes,,,9,13,9,8,10,11,12,9,9,6,6,5,8,115,115,0,2,2,0,111,0,0,10.3,32,1,1,3,2,3,0,1.73,1.73,0,96.52,0,0,11.16,5,KENT,American Association of Christian Schools (AACS),,,,,,,
A1501812,CHILDREN'S HOME DIAGNOSTIC CENTER SCHOOL,11,17,205 BLOOMSBURY AVE,CATONSVILLE,24005,005,MD,24,21228,4107441083,230,4,Yes,,,,,,,,,1,,1,4,3,2,1,12,12,0,0,1,8,2,0,1,1,21,2,6,3,3,2,0,0,8.33,66.66,16.66,0,8.33,12,30,BALTIMORE,School does not belong to ANY associations or organizations,,,,,,,
A9502040,CHILDREN'S MANOR MONTESSORI,2,7,4465 MONTGOMERY RD,ELLICOTT CITY,24027,027,MD,24,21043,4104616070,180,6.5,Yes,,110,66,10,6,,,,,,,,,,,192,82,0,50,2,10,10,0,10,5,21,1,2,1,3,2,0,60.97,2.43,12.19,12.19,0,12.19,16.4,30,HOWARD,American Montessori Society (AMS),,,,,,,
A1501813,CHILDREN'S MANOR MONTESSORI SCHOOL & DAYCARE,2,3,14426 TRAVILLE GARDENS CIR,ROCKVILLE,24031,031,MD,24,20850,2403281013,182,7,Yes,,,,,,,,,,,,,,,,,,,,,,,,,7,21,1,2,1,3,2,,,,,,,,,30,MONTGOMERY,American Montessori Society (AMS),,,,,,,
A9902187,CHILDWAY,3,3,4058 BLACKBURN LN,BURTONSVILLE,24031,031,MD,24,20866,3013845753,177,6.5,Yes,,,20,,,,,,,,,,,,,20,20,0,2,3,13,2,0,0,2,21,1,7,1,3,2,0,10,15,65,10,0,0,10,30,MONTGOMERY,School does not belong to ANY associations or organizations,,,,,,,
K9302930,CHRISTIAN PRESCHOOL & KINDERGARTEN PROGRAM,2,3,65 WASHINGTON RD,WESTMINSTER,24013,013,MD,24,21157,4432899019,170,5,Yes,,98,5,,,,,,,,,,,,,103,5,0,0,0,0,5,0,0,0.9,23,1,6,1,2,2,0,0,0,0,100,0,0,5.55,27,CARROLL,School does not belong to ANY associations or organizations,,,,,,,
K9302753,CHURCH OF THE REDEEMER CHRISTIAN SCHOOL,2,13,19425 WOODFIELD RD,GAITHERSBURG,24031,031,MD,24,20879,2402381585,171,7,Yes,1,19,25,20,19,24,17,21,18,9,5,,,,,178,159,0,23,41,56,39,0,0,22.5,21,1,1,1,2,2,0,14.46,25.78,35.22,24.52,0,0,7.06,8,MONTGOMERY,Association of Christian Schools International (ACSI),Christian Schools International (CSI),,,,,,
K9302959,CHURCH OF THE REDEEMER PARISH DAY SCHOOL,2,5,5603 N CHARLES ST,BALTIMORE,24510,510,MD,24,21210,4104359510,173,6,Yes,,94,21,,,,,,,,,,,,,115,21,0,0,2,1,17,0,1,4.1,11,1,6,1,2,1,0,0,9.52,4.76,80.95,0,4.76,5.12,14,BALTIMORE,National Association of Episcopal Schools (NAES),,,,,,,
A0103946,COLLEGE PARK NURSERY SCHOOL,2,4,4512 COLLEGE AVE,COLLEGE PARK,24033,033,MD,24,20740,3018645355,172,3,No,,56,2,,,,,,,,,,,,,58,2,0,0,0,0,2,0,0,0.6,21,1,6,1,3,2,0,0,0,0,100,0,0,3.33,30,PRINCE GEORGE'S,,,,,,,,
K9302838,COLUMBIA MONTESSORI SCHOOL,2,6,10508 MARBLE FAUN LN,COLUMBIA,24027,027,MD,24,21044,4107728353,175,6,Yes,,55,13,7,,,,,,,,,,,,75,20,0,8,1,6,5,0,0,2.8,13,1,2,1,3,1,0,40,5,30,25,0,0,7.14,30,HOWARD,Other Montessori association(s),,,,,,,
A9303057,COMMUNITY INITIATIVES ACADEMY,2,17,1001 N CAROLINE ST,BALTIMORE,24510,510,MD,24,21205,4103632818,170,5,Yes,2,11,1,,,,,,1,,,,,,1,16,5,0,0,0,5,0,0,0,1.1,11,1,6,3,2,1,0,0,0,100,0,0,0,4.54,8,BALTIMORE,Accelerated Christian Education (ACE),,,,,,,
A9902195,COMMUNITY SCHOOL OF MARYLAND,1,1,21515 ZION RD,BROOKEVILLE,24031,031,MD,24,20833,2409123606,242,6,Yes,27,,,,,,,,,,,,,,,27,27,0,1,1,16,9,0,0,5,41,1,4,3,3,4,0,3.7,3.7,59.25,33.33,0,0,5.4,30,MONTGOMERY,School does not belong to ANY associations or organizations,,,,,,,
00580602,CONCORD HILL SCHOOL,2,8,6050 WISCONSIN AVE,CHEVY CHASE,24031,031,MD,24,20815,3016542626,172,6.66,Yes,,28,22,19,15,14,,,,,,,,,,98,70,0,3,3,5,54,0,5,13.5,13,1,1,1,3,1,0,4.28,4.28,7.14,77.14,0,7.14,5.18,30,MONTGOMERY,National Association for the Education of Young Children (NAEYC),Other school association(s),,,,,,
00579743,CONCORDIA PREPARATORY SCHOOL,11,17,1145 CONCORDIA DR,TOWSON,24005,005,MD,24,21286,4108252323,180,7,Yes,,,,,,,,,35,42,34,49,47,63,31,301,301,0,19,8,63,194,2,15,35,21,1,1,3,2,2,0,6.31,2.65,20.93,64.45,0.66,4.98,8.6,23,BALTIMORE,,,,,,,,
01604409,CONNELLY SCHOOL OF THE HOLY CHILD,11,17,9029 BRADLEY BLVD,POTOMAC,24031,031,MD,24,20854,3013650955,170,7.08,Yes,,,,,,,,,14,25,36,60,50,49,63,297,297,0,17,20,30,227,1,2,43.3,21,2,1,3,1,2,0,5.72,6.73,10.1,76.43,0.33,0.67,6.85,1,MONTGOMERY,National Catholic Educational Association (NCEA),National Coalition of Girls' Schools (NCGS),National Association of Independent Schools (NAIS),Other school association(s),,,,
K9302660,CORKRAN UNITED METHODIST PRESCHOOL AND KINDERGARTE,2,3,5200 TEMPLE HILL RD,TEMPLE HILLS,24033,033,MD,24,20748,3018946886,170,5,No,,50,10,,,,,,,,,,,,,60,10,0,0,1,5,2,0,2,1,21,1,6,1,2,2,0,0,10,50,20,0,20,10,25,PRINCE GEORGE'S,,,,,,,,
A1501820,CORNERSTONE ACADEMY,11,17,17455 OLD FREDERICK RD,MOUNT AIRY,24027,027,MD,24,21771,3018294730,170,6,Yes,,,,,,,,,2,1,3,1,5,2,5,19,19,0,0,0,6,12,0,1,4.5,41,1,4,3,2,4,0,0,0,31.57,63.15,0,5.26,4.22,8,HOWARD,Association of Christian Schools International (ACSI),,,,,,,
A0501804,CORNERSTONE ACADEMY,11,17,17455 OLD FREDERICK RD,MOUNT AIRY,24027,027,MD,24,21771,3018294730,175,6.5,Yes,,,,,,,,,2,1,3,1,5,3,4,19,19,0,0,0,5,14,0,0,3.3,41,1,4,3,2,4,0,0,0,26.31,73.68,0,0,5.75,8,HOWARD,Association of Christian Schools International (ACSI),,,,,,,
00579357,COUNTRYSIDE CHRISTIAN SCHOOL,2,13,5333 AUSTIN RD,CAMBRIDGE,24019,019,MD,24,21613,4102280574,170,7,Yes,,4,3,4,2,2,6,,2,1,1,,,,,25,21,0,0,2,3,13,1,2,4,41,1,1,1,2,4,0,0,9.52,14.28,61.9,4.76,9.52,5.25,9,DORCHESTER,Association of Christian Schools International (ACSI),,,,,,,
A9502050,COVENANT LIFE SCHOOL,2,17,7503 MUNCASTER MILL RD,GAITHERSBURG,24031,031,MD,24,20877,3018694500,176,7.08,Yes,,50,18,17,9,19,13,21,18,16,18,21,22,22,23,287,237,0,45,34,26,127,0,5,26.1,21,1,1,3,2,2,0,18.98,14.34,10.97,53.58,0,2.1,9.08,8,MONTGOMERY,Association of Christian Schools International (ACSI),,,,,,,
K9303029,CREATIVE GARDEN NURSERY SCHOOL & KINDERGARTEN,2,4,1560 CROFTON PKWY,CROFTON,24003,003,MD,24,21114,4107217711,170,7,Yes,,131,24,,,,,,,,,,,,,155,24,0,0,0,0,24,0,0,5,21,1,6,1,3,2,0,0,0,0,100,0,0,4.8,30,ANNE ARUNDEL,,,,,,,,
A0901656,CRISTO REY JESUIT HIGH SCHOOL,14,17,420 S CHESTER ST,BALTIMORE,24510,510,MD,24,21231,4107273255,182,7.58,Yes,,,,,,,,,,,,101,87,77,65,330,330,0,1,72,232,2,0,23,22.6,11,1,1,2,1,1,0,0.3,21.81,70.3,0.6,0,6.96,14.6,1,BALTIMORE,Jesuit Secondary Education Association (JSEA),,,,,,,
A0307468,CROSSWAY COMMUNITY MONTESSORI SCHOOL,2,3,3015 UPTON DR,KENSINGTON,24031,031,MD,24,20895,3019292505,181,6.5,Yes,,50,1,,,,,,,,,,,,,51,1,0,0,1,0,0,0,0,1,21,1,2,1,3,2,0,0,100,0,0,0,0,1,30,MONTGOMERY,Other Montessori association(s),,,,,,,
A1701912,CUMBERLAND MENNONITE SCHOOL,7,11,11619 BEDFORD RD NE,CUMBERLAND,24001,001,MD,24,21502,8144149935,180,6.5,Yes,,,,,3,1,1,,2,,,,,,,7,7,0,0,0,0,7,0,0,1.6,23,1,1,1,2,2,0,0,0,0,100,0,0,4.37,24,ALLEGANY,School does not belong to ANY associations or organizations,,,,,,,
02030623,DELREY SCHOOL,7,17,3610 COMMERCE DR STE 804,HALETHORPE,24005,005,MD,24,21227,4103145000,209,6,Yes,,,,,1,1,1,3,,2,1,2,2,1,7,21,21,0,0,2,11,8,0,0,3,21,1,4,3,3,2,0,0,9.52,52.38,38.09,0,0,7,30,BALTIMORE,Other association(s) for exceptional children,,,,,,,
01604431,DEMATHA CATHOLIC HIGH SCHOOL,14,17,4313 MADISON ST,HYATTSVILLE,24033,033,MD,24,20781,2407642200,175,6.75,Yes,,,,,,,,,,,,248,233,200,184,865,865,5,20,86,382,266,1,105,66.9,21,3,1,2,1,2,0.57,2.31,9.94,44.16,30.75,0.11,12.13,12.92,1,PRINCE GEORGE'S,National Catholic Educational Association (NCEA),State or regional independent school association,Other school association(s),,,,,
A1101183,DENTON RUN AMISH PAROCHIAL SCHOOL,6,13,28379 THOMPSON CORNER RD,MECHANICSVILLE,24017,017,MD,24,20659,,180,6.5,Yes,,,,2,3,4,4,3,2,4,2,,,,,24,24,0,0,0,0,24,0,0,1,42,1,1,1,2,4,0,0,0,0,100,0,0,24,3,CHARLES,Association Montessori International (AMI),,,,,,,
A9103185,DIVINE PEACE ELEMENTARY SCHOOL,3,13,1500 BROWN STATION RD,LARGO,24033,033,MD,24,20774,3013504522,180,7.5,Yes,,,12,7,7,7,5,4,7,2,1,,,,,52,52,0,0,1,46,0,0,5,5,41,1,1,1,2,4,0,0,1.92,88.46,0,0,9.61,10.4,22,PRINCE GEORGE'S,Association of Christian Schools International (ACSI),,,,,,,
A0901660,DON BOSCO CRISTO REY HIGH SCHOOL,14,17,1010 LARCH AVE,TAKOMA PARK,24031,031,MD,24,20912,3018914750,183,7.45,Yes,,,,,,,,,,,,96,115,102,74,387,387,0,2,301,71,7,0,6,28.3,21,1,-1,2,1,2,0,0.51,77.77,18.34,1.8,0,1.55,13.67,1,MONTGOMERY,National Catholic Educational Association (NCEA),,,,,,,
A1101185,ECHELON ACADEMY,6,17,900 OLNEY SANDY SPRING RD,SANDY SPRING,24031,031,MD,24,20860,3015700999,184,6,Yes,,,,1,1,1,1,1,,,1,1,1,2,1,11,11,0,0,1,0,9,0,1,1.6,21,1,4,3,3,2,0,0,9.09,0,81.81,0,9.09,6.87,30,MONTGOMERY,,,,,,,,
K9302921,EDINBORO EARLY SCHOOL,2,3,380 JUMPERS HOLE RD,SEVERNA PARK,24003,003,MD,24,21146,4105442476,190,7,Yes,,70,4,,,,,,,,,,,,,74,4,0,0,0,2,0,0,2,1,21,1,7,1,3,2,0,0,0,50,0,0,50,4,30,ANNE ARUNDEL,School does not belong to ANY associations or organizations,,,,,,,
