pss_locale,county_code,school_id,school_name,lo_grade,hi_grade,street,city,pss_county_fips,state,pss_fips,zip,pss_phone,pss_sch_days,pss_stu_day_hrs,pss_library,pss_enroll_ug,pss_enroll_pk,pss_enroll_k,pss_enroll_1,pss_enroll_2,pss_enroll_3,pss_enroll_4,pss_enroll_5,pss_enroll_6,pss_enroll_7,pss_enroll_8,pss_enroll_9,pss_enroll_10,pss_enroll_11,pss_enroll_12,enrollment,pss_enroll_tk12,pss_race_ai,pss_race_as,pss_race_h,pss_race_b,pss_race_w,pss_race_p,pss_race_2,teachers_fte,pss_coed,pss_type,pss_level,pss_relig,pss_comm_type,pss_indian_pct,pss_asian_pct,pss_hisp_pct,pss_black_pct,pss_white_pct,pss_pacisl_pct,pss_twomore_pct,pss_stdtch_rt,pss_orient,pss_county_name,pss_assoc_1,pss_assoc_2,pss_assoc_3,pss_assoc_4,pss_assoc_5,pss_assoc_6,pss_assoc_7,pss_assoc_8,grade_band,county_name,school_type,school_type_detail,pvt_pct_nonwhite,locale_label,locale_type,definition,school_status
21,24033,A0103930,Belair Baptist Christian Academy,2,17,PO BOX 796,BOWIE,033,MD,24,20718,3012620578,180,7,Yes,NA,2,2,2,4,3,4,1,6,6,3,1,6,4,2,46,44,0,1,1,32,6,0,4,8,1,1,3,2,2,0,2.27,2.27,72.72,13.63,0,9.09,5.5,5,PRINCE GEORGE'S,Accelerated Christian Education (ACE),Association of Christian Schools International (ACSI),Southern Baptist Association of Christian Schools (SBACS),NA,NA,NA,NA,NA,All Grades,Prince George's County,private,private,84.08,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24005,A1501812,Children's Home Diagnostic Center School,11,17,205 BLOOMSBURY AVE,CATONSVILLE,005,MD,24,21228,4107441083,230,4,Yes,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,3,2,1,12,12,0,0,1,8,2,0,1,1,2,6,3,3,2,0,0,8.33,66.66,16.66,0,8.33,12,30,BALTIMORE,School does not belong to ANY associations or organizations,NA,NA,NA,NA,NA,NA,NA,MS/HS,Baltimore County,private,private,83.32,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24033,02032799,Grace Christian School,3,13,7210 RACE TRACK RD,BOWIE,033,MD,24,20715,3012620158,176,7.25,Yes,NA,NA,32,26,26,25,32,21,30,33,36,NA,NA,NA,NA,261,261,0,5,8,184,64,0,0,24.3,1,1,1,2,2,0,1.91,3.06,70.49,24.52,0,0,10.74,5,PRINCE GEORGE'S,American Association of Christian Schools (AACS),Association of Christian Schools International (ACSI),NA,NA,NA,NA,NA,NA,ES/MS,Prince George's County,private,private,73.55,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24033,A0701238,Reid Temple Christian Academy,2,13,11400 GLENN DALE BLVD,GLENN DALE,033,MD,24,20769,3018606570,185,8.5,Yes,NA,95,31,32,23,27,27,21,16,13,16,NA,NA,NA,NA,301,206,0,0,0,205,1,0,0,29.6,1,3,1,2,2,0,0,0,99.51,0.48,0,0,6.95,2,PRINCE GEORGE'S,Other school association(s),NA,NA,NA,NA,NA,NA,NA,ES/MS,Prince George's County,private,private,99.51,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24033,01604431,Dematha Catholic High School,14,17,4313 MADISON ST,HYATTSVILLE,033,MD,24,20781,2407642200,175,6.75,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248,233,200,184,865,865,5,20,86,382,266,1,105,66.9,3,1,2,1,2,0.57,2.31,9.94,44.16,30.75,0.11,12.13,12.92,1,PRINCE GEORGE'S,National Catholic Educational Association (NCEA),State or regional independent school association,Other school association(s),NA,NA,NA,NA,NA,HS,Prince George's County,private,private,66.91,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24031,00580078,Washington Christian Academy,3,17,16227 BATCHELLORS FOREST RD,OLNEY,031,MD,24,20832,2403900429,176,7.03,Yes,NA,NA,11,19,20,18,21,15,17,28,26,41,26,30,23,295,295,0,24,21,116,95,0,39,28.6,1,1,3,2,2,0,8.13,7.11,39.32,32.2,0,13.22,10.31,8,MONTGOMERY,Christian Schools International (CSI),NA,NA,NA,NA,NA,NA,NA,All Grades,Montgomery County,private,private,59.65,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24027,A9302909,Chapelgate Christian Academy,2,17,2600 MARRIOTTSVILLE RD,MARRIOTTSVILLE,027,MD,24,21104,4104425888,178,6,Yes,NA,32,8,NA,NA,NA,NA,NA,17,21,31,49,58,62,48,326,294,0,67,3,81,125,0,18,25.9,1,1,3,2,2,0,22.78,1.02,27.55,42.51,0,6.12,11.35,27,HOWARD,Association of Christian Schools International (ACSI),NA,NA,NA,NA,NA,NA,NA,All Grades,Howard County,private,private,34.69,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24031,A1101185,Echelon Academy,6,17,900 OLNEY SANDY SPRING RD,SANDY SPRING,031,MD,24,20860,3015700999,184,6,Yes,NA,NA,NA,1,1,1,1,1,NA,NA,1,1,1,2,1,11,11,0,0,1,0,9,0,1,1.6,1,4,3,3,2,0,0,9.09,0,81.81,0,9.09,6.87,30,MONTGOMERY,NA,NA,NA,NA,NA,NA,NA,NA,All Grades,Montgomery County,private,private,18.18,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24005,A1771136,Kinder-Praise Learning Center,2,5,8916 LIBERTY RD,RANDALLSTOWN,005,MD,24,21133,4106558442,180,6,Yes,NA,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,6,NA,NA,NA,NA,NA,NA,NA,1.3,1,7,1,3,2,NA,NA,NA,NA,NA,NA,NA,4.61,30,BALTIMORE,School does not belong to ANY associations or organizations,NA,NA,NA,NA,NA,NA,NA,ES,Baltimore County,private,private,NA,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24033,A9103243,National Christian Academy,2,17,6700 BOCK RD,FT WASHINGTON,033,MD,24,20744,3015679507,175,7,Yes,NA,56,25,15,10,15,13,16,17,12,16,18,19,18,16,266,210,0,1,9,190,4,1,5,18.6,1,1,3,2,2,0,0.47,4.28,90.47,1.9,0.47,2.38,11.29,10,PRINCE GEORGE'S,Association of Christian Schools International (ACSI),NA,NA,NA,NA,NA,NA,NA,All Grades,Prince George's County,private,private,97.6,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24033,A0301773,The Maryland International Day School,2,13,1900 TUCKER RD,FT WASHINGTON,033,MD,24,20744,3015679101,200,7.5,Yes,NA,5,8,8,14,9,6,4,3,4,1,NA,NA,NA,NA,62,57,0,0,5,43,3,0,6,10,1,3,1,3,2,0,0,8.77,75.43,5.26,0,10.52,5.7,30,PRINCE GEORGE'S,European Council for International Schools (ECIS),NA,NA,NA,NA,NA,NA,NA,ES/MS,Prince George's County,private,private,94.72,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24033,00581264,Beltsville Sda School,3,13,4230 AMMENDALE RD,BELTSVILLE,033,MD,24,20705,3019372933,180,6,Yes,NA,NA,23,25,25,20,25,25,25,25,25,NA,NA,NA,NA,218,218,0,71,30,43,55,0,19,11.9,1,1,1,2,2,0,32.56,13.76,19.72,25.22,0,8.71,18.31,2,PRINCE GEORGE'S,General Conference of the Seventh-Day Adventist Church (GCSDAC),NA,NA,NA,NA,NA,NA,NA,ES/MS,Prince George's County,private,private,42.19,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24033,A0501834,High Road Upper School,6,17,9701 PHILADELPHIA CT M,LANHAM MD,033,MD,24,20706,3012104860,180,6,Yes,NA,NA,NA,8,10,10,10,9,9,9,9,9,9,9,9,110,110,0,0,5,100,2,0,3,16,1,1,3,3,2,0,0,4.54,90.9,1.81,0,2.72,6.87,30,PRINCE GEORGE'S,School does not belong to ANY associations or organizations,NA,NA,NA,NA,NA,NA,NA,All Grades,Prince George's County,private,private,98.16000000000001,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24033,01604395,Bishop Mcnamara High School,14,17,6800 MARLBORO PIKE,FORESTVILLE,033,MD,24,20747,3017358401,175,7,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,237,218,206,855,855,2,6,14,642,62,19,110,74,1,1,2,1,2,0.23,0.7,1.63,75.08,7.25,2.22,12.86,11.55,1,PRINCE GEORGE'S,National Catholic Educational Association (NCEA),NA,NA,NA,NA,NA,NA,NA,HS,Prince George's County,private,private,92.02,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24033,A1701980,The Living Water School,1,1,P.O BOX 1307,FT WASHINGTON,033,MD,24,20749,3019712619,180,8,Yes,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,37,0,0,3,34,0,0,0,4.6,1,7,3,2,2,0,0,8.1,91.89,0,0,0,8.04,8,PRINCE GEORGE'S,Association of Christian Schools International (ACSI),Association of Classical and Christian Schools (ACCS),NA,NA,NA,NA,NA,NA,UG,Prince George's County,private,private,99.99,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24033,A9103200,From The Heart Christian School,2,17,4949 ALLENTOWN RD,SUITLAND,033,MD,24,20746,3018992968,174,7.5,No,NA,23,7,12,15,11,18,26,18,20,15,18,19,22,14,238,215,0,0,0,211,4,0,0,26.3,1,1,3,2,2,0,0,0,98.13,1.86,0,0,8.17,8,PRINCE GEORGE'S,School does not belong to ANY associations or organizations,NA,NA,NA,NA,NA,NA,NA,All Grades,Prince George's County,private,private,98.13,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24033,K9302660,Corkran United Methodist Preschool And Kindergarte,2,3,5200 TEMPLE HILL RD,TEMPLE HILLS,033,MD,24,20748,3018946886,170,5,No,NA,50,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,10,0,0,1,5,2,0,2,1,1,6,1,2,2,0,0,10,50,20,0,20,10,25,PRINCE GEORGE'S,NA,NA,NA,NA,NA,NA,NA,NA,ES,Prince George's County,private,private,80,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
