"","school_id","name","school_type","school_type_detail","grade_band","county","locale_code","pvt_pct_nonwhite","enrollment","teacher_fte"
"48","00579029","ST. JOSEPH SCHOOL - FULLERTON","private","private","ES/MS","BALTIMORE","21",14.4,"540","28"
"49","00579109","BARRIE SCHOOL","private","private","All Grades","MONTGOMERY","21",52.31,"284","35.3"
"50","00579131","GREENSPRING MONTESSORI SCHOOL","private","private","All Grades","BALTIMORE","21",19.3,"246","14.8"
"51","00579164","THE JULIA BROWN SCHOOL","private","private","ES","HOWARD","21",88.88,"74","3.6"
"52","00579186","ST JOHN'S EPISCOPAL SCHOOL","private","private","ES/MS","MONTGOMERY","21",51.92,"147","19.4"
"53","00579299","IVYMOUNT SCHOOL","private","private","All Grades","MONTGOMERY","21",35.73,"207","39.8"
"54","00579302","RIVERDALE BAPTIST SCHOOL","private","private","All Grades","PRINCE GEORGE'S","21",97.98,"590","52"
"55","00579324","LINWOOD SCHOOL","private","private","ES","HOWARD","21",48.14,"54","11.6"
"56","00579346","BARNESVILLE SCHOOL OF ARTS & SCIENCES","private","private","ES/MS","MONTGOMERY","41",20.93,"126","15"
"57","00579357","COUNTRYSIDE CHRISTIAN SCHOOL","private","private","ES/MS","DORCHESTER","41",38.08,"25","4"
"58","00579368","GERMAN INTERNATIONAL SCHOOL WASHINGTON DC","private","private","All Grades","MONTGOMERY","21",6.12,"501","35.9"
"59","00579379","BULLIS SCHOOL","private","private","All Grades","MONTGOMERY","21",16.1,"831","117.1"
"60","00579415","INDIAN CREEK SCHOOL","private","private","All Grades","ANNE ARUNDEL","21",28.72,"556","52.5"
"61","00579448","OLDFIELDS SCHOOL","private","private","HS","BALTIMORE","41",25.82,"120","25.3"
"62","00579506","ST PAUL'S SCHOOL","private","private","All Grades","BALTIMORE","21",23.6,"762","108.6"
"63","00579517","OPEN BIBLE CHRISTIAN ACADEMY","private","private","All Grades","BALTIMORE","41",34.94,"140","15.3"
"64","00579528","GRACE BRETHREN CHRISTIAN SCHOOL","private","private","All Grades","PRINCE GEORGE'S","21",93.99,"491","48.9"
"65","00579539","SANDY SPRINGS FRIENDS MIDDLE SCHOOL","private","private","All Grades","MONTGOMERY","21",40.91,"603","74.5"
"66","00579561","THE WILKESSCHOOL AT GRACE AND ST. PETER'S","private","private","ES","BALTIMORE","11",45.45,"45","9.4"
"67","00579619","BETH TFILOH DAHAN COMMUNITY SCHOOL","private","private","All Grades","BALTIMORE","21",1.18,"945","122.9"
"68","00579641","YESHIVA OF GREATER WASHINGTON GIRLS DIVISION","private","private","MS/HS","MONTGOMERY","13",0,"127","18.9"
"69","00579663","ISRAEL HENRY BEREN HIGH SCHOOL","private","private","HS","BALTIMORE","21",0,"242","4.4"
"70","00579685","TALMUDICAL ACADEMY-BALTIMORE","private","private","All Grades","BALTIMORE","21",99.77,"1005","73.3"
"71","00579696","MELVIN J BERMAN HEBREW ACADEMY","private","private","All Grades","MONTGOMERY","21",NA,"655",NA
"72","00579721","ROLAND PARK COUNTRY SCHOOL","private","private","All Grades","BALTIMORE","11",22.96,"580","84.9"
"73","00579732","PILGRIM CHRISTIAN DAY SCHOOL","private","private","ES","BALTIMORE","21",99.99,"41","5.9"
"74","00579743","CONCORDIA PREPARATORY SCHOOL","private","private","MS/HS","BALTIMORE","21",29.22,"301","35"
"75","00579754","ST PAUL LUTHERAN SCHOOL","private","private","ES","BALTIMORE","21",34.9,"118","4"
"76","00579765","ST PAULS LUTHERAN SCHOOL","private","private","ES/MS","ANNE ARUNDEL","21",18.47,"325","19.8"
"77","00579845","ST JAMES SCHOOL","private","private","HS","WASHINGTON","41",27.37,"241","29.8"
"78","00579889","WORCESTER PREPARATORY SCHOOL","private","private","All Grades","WORCESTER","32",10.19,"507","49.8"
"79","00579914","GREEN ACRES SCHOOL","private","private","ES/MS","MONTGOMERY","21",31.13,"247","39.3"
"80","00579936","PARADISE MENNONITE SCHOOL","private","private","All Grades","WASHINGTON","41",0,"241","16"
"81","00579947","SALISBURY CHRISTIAN SCHOOL","private","private","All Grades","WICOMICO","41",17.36,"573","50.3"
"82","00579958","ST MARTINS LUTHERAN CHURCH SCHOOL","private","private","ES/MS","ANNE ARUNDEL","21",NA,"123",NA
"83","00580001","THE PRIMARY DAY SCHOOL","private","private","ES","MONTGOMERY","13",27.82,"121","20.3"
"84","00580067","ANNAPOLIS AREA CHRISTIAN SCHOOL","private","private","All Grades","ANNE ARUNDEL","41",32.36,"911","85.6"
"85","00580078","WASHINGTON CHRISTIAN ACADEMY","private","private","All Grades","MONTGOMERY","21",59.65,"295","28.6"
"86","00580103","GILMAN SCHOOL","private","private","All Grades","BALTIMORE","11",18.77,"1011","144.8"
"87","00580114","WEST NOTTINGHAM ACADEMY","private","private","HS","CECIL","21",42.29,"130","19"
"88","00580125","MCDONOGH SCHOOL","private","private","All Grades","BALTIMORE","21",28.22,"1383","222.8"
"89","00580158","THE TOME SCHOOL","private","private","All Grades","CECIL","21",6.18,"452","41.4"
"90","00580191","KEY SCHOOL","private","private","All Grades","ANNE ARUNDEL","21",26.2,"641","103.3"
"91","00580216","GLENELG COUNTRY SCHOOL","private","private","All Grades","HOWARD","41",30.92,"751","119.8"
"92","00580227","THE PARK SCHOOL OF BALTIMORE","private","private","All Grades","BALTIMORE","21",16.35,"788","107.9"
"93","00580238","THE BRYN MAWR SCHOOL","private","private","All Grades","BALTIMORE","11",27.78,"775","84.1"
